!!SBtab TableName='Reaction' TableType='Reaction' Document='Model' SBtabVersion='0.9'			
!ID	!ReactionFormula	!Name	!IsReversible
ADSK	aps_c_ + atp_c_ <=> adp_c_ + h_c_ + paps_c_	adenylyl-sulfate kinase	False
ADSL1r	dcamp_c_ <=> amp_c_ + fum_c_	adenylsuccinate lyase	True
ADSL2r	_25aics_c_ <=> aicar_c_ + fum_c_	adenylosuccinate lyase	True
ADSS	asp_L_c_ + gtp_c_ + imp_c_ <=> dcamp_c_ + gdp_c_ + 2 h_c_ + pi_c_	adenylosuccinate synthase	False
AGDC	acgam6p_c_ + h2o_c_ <=> ac_c_ + gam6p_c_	N-acetylglucosamine-6-phosphate deacetylase	False
AGM3PApp	anhgm3p_p_ + h2o_p_ <=> LalaDgluMdap_p_ + anhgm_p_	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm)	False
AGM3PH	anhgm3p_c_ + h2o_c_ <=> acgam_c_ + anhm3p_c_	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase	False
AGM4PCP	anhgm4p_c_ + h2o_c_ <=> ala_D_c_ + anhgm3p_c_	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase	False
AGM4Pt2pp	anhgm4p_p_ + h_p_ <=> anhgm4p_c_ + h_c_	GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm)	False
AGMHE	adphep_DD_c_ <=> adphep_LD_c_	ADP-D-glycero-D-manno-heptose epimerase	False
AGPAT120	_1ddecg3p_c_ + ddcaACP_c_ <=> ACP_c_ + pa120_c_	 1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)	False
AGPAT160	_1hdecg3p_c_ + palmACP_c_ <=> ACP_c_ + pa160_c_	 1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)	False
AGPAT161	_1hdec9eg3p_c_ + hdeACP_c_ <=> ACP_c_ + pa161_c_	 1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)	False
AGPR	acg5sa_c_ + nadp_c_ + pi_c_ <=> acg5p_c_ + h_c_ + nadph_c_	N-acetyl-g-glutamyl-phosphate reductase	True
AHCYSNS	ahcys_c_ + h2o_c_ <=> ade_c_ + rhcys_c_	S-adenosylhomocysteine nucleosidase	False
AICART	_10fthf_c_ + aicar_c_ <=> fprica_c_ + thf_c_	phosphoribosylaminoimidazolecarboxamide formyltransferase	True
AIRC2	air_c_ + atp_c_ + hco3_c_ <=> _5caiz_c_ + adp_c_ + h_c_ + pi_c_	phosphoribosylaminoimidazole carboxylase	False
AIRC3	_5aizc_c_ <=> _5caiz_c_	phosphoribosylaminoimidazole carboxylase (mutase rxn)	True
AKGDH	akg_c_ + coa_c_ + nad_c_ <=> co2_c_ + nadh_c_ + succoa_c_	 2-Oxogluterate dehydrogenase	False
ALAALAabcpp	alaala_p_ + atp_c_ + h2o_c_ <=> adp_c_ + alaala_c_ + h_c_ + pi_c_	D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm)	False
ALAALAr	2 ala_D_c_ + atp_c_ <=> adp_c_ + alaala_c_ + h_c_ + pi_c_	D-alanine-D-alanine ligase (reversible)	True
ALAR	ala_L_c_ <=> ala_D_c_	alanine racemase	True
ALATA_L	akg_c_ + ala_L_c_ <=> glu_L_c_ + pyr_c_	L-alanine transaminase	True
ALATA_L2	ala_L_c_ + pydx5p_c_ <=> pyam5p_c_ + pyr_c_	alanine transaminase	False
ALCD2x	etoh_c_ + nad_c_ <=> acald_c_ + h_c_ + nadh_c_	alcohol dehydrogenase (ethanol)	True
AM3PA	anhm3p_c_ + h2o_c_ <=> LalaDgluMdap_c_ + anhm_c_	anhydrous-N-Acetylmuramyl-tripeptide amidase	False
AMPMS2	air_c_ + h2o_c_ + nad_c_ <=> _4ampm_c_ + 2 for_c_ + 3 h_c_ + nadh_c_	 4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	False
ANHGMtex	anhgm_e_ <=> anhgm_p_	GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)	True
ANHMK	anhm_c_ + atp_c_ + h2o_c_ <=> acmum6p_c_ + adp_c_ + h_c_	 1,6-anhydrous-N-Acetylmuramate kinase	False
ANPRT	anth_c_ + prpp_c_ <=> ppi_c_ + pran_c_	anthranilate phosphoribosyltransferase	False
ANS	chor_c_ + gln_L_c_ <=> anth_c_ + glu_L_c_ + h_c_ + pyr_c_	anthranilate synthase	False
APRAUR	_5apru_c_ + h_c_ + nadph_c_ <=> _5aprbu_c_ + nadp_c_	 5-amino-6-(5-phosphoribosylamino)uracil reductase	False
ARGSL	argsuc_c_ <=> arg_L_c_ + fum_c_	argininosuccinate lyase	True
ARGSS	asp_L_c_ + atp_c_ + citr_L_c_ <=> amp_c_ + argsuc_c_ + h_c_ + ppi_c_	argininosuccinate synthase	False
ARGt3pp	arg_L_c_ + h_p_ <=> arg_L_p_ + h_c_	L-arginine transport out via proton antiport (cytoplasm to periplasm)	False
ARGtex	arg_L_e_ <=> arg_L_p_	L-arginine transport via diffusion (extracellular to periplasm)	True
ASAD	aspsa_c_ + nadp_c_ + pi_c_ <=> _4pasp_c_ + h_c_ + nadph_c_	aspartate-semialdehyde dehydrogenase	True
ASNS2	asp_L_c_ + atp_c_ + nh4_c_ <=> amp_c_ + asn_L_c_ + h_c_ + ppi_c_	asparagine synthetase	False
ASP1DC	asp_L_c_ + h_c_ <=> ala_B_c_ + co2_c_	aspartate 1-decarboxylase	False
ASPCT	asp_L_c_ + cbp_c_ <=> cbasp_c_ + h_c_ + pi_c_	aspartate carbamoyltransferase	False
ASPK	asp_L_c_ + atp_c_ <=> _4pasp_c_ + adp_c_	aspartate kinase	True
ASPO5	asp_L_c_ + fum_c_ <=> h_c_ + iasp_c_ + succ_c_	L-aspartate oxidase	False
ASPTA	akg_c_ + asp_L_c_ <=> glu_L_c_ + oaa_c_	aspartate transaminase	True
ATPPRT	atp_c_ + prpp_c_ <=> ppi_c_ + prbatp_c_	ATP phosphoribosyltransferase	False
ATPS4rpp	adp_c_ + 4 h_p_ + pi_c_ <=> atp_c_ + h2o_c_ + 3 h_c_	ATP synthase (four protons for one ATP) (periplasm)	True
BPNT	h2o_c_ + pap_c_ <=> amp_c_ + pi_c_	 3',5'-bisphosphate nucleotidase	False
CA2tex	ca2_e_ <=> ca2_p_	calcium (Ca+2) transport via diffusion (extracellular to periplasm)	True
CAt6pp	ca2_c_ + na1_p_ <=> ca2_p_ + na1_c_	calcium / sodium antiporter (1:1)	True
CBMKr	atp_c_ + co2_c_ + nh4_c_ <=> adp_c_ + cbp_c_ + 2 h_c_	Carbamate kinase	True
CDPMEK	_4c2me_c_ + atp_c_ <=> _2p4c2me_c_ + adp_c_ + h_c_	 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	False
CHORM	chor_c_ <=> pphn_c_	chorismate mutase	False
CHORS	_3psme_c_ <=> chor_c_ + pi_c_	chorismate synthase	False
CHRPL	chor_c_ <=> _4hbz_c_ + pyr_c_	Chorismate pyruvate lyase	False
CLt3_2pp	2 cl_p_ + h_c_ <=> 2 cl_c_ + h_p_	chloride transport out via proton antiport (2:1) (periplasm)	False
CLtex	cl_e_ <=> cl_p_	chloride (Cl-1) transport via diffusion (extracellular to periplasm)	True
CMPN	cmp_c_ + h2o_c_ <=> csn_c_ + r5p_c_	CMP nucleosidase	False
CO2tex	co2_e_ <=> co2_p_	CO2 transport via diffusion (extracellular to periplasm)	True
CO2tpp	co2_p_ <=> co2_c_	CO2 transporter via diffusion (periplasm)	True
COBALT2tex	cobalt2_e_ <=> cobalt2_p_	cobalt (Co+2) transport via diffusion (extracellular to periplasm)	True
COBALT2tpp	cobalt2_p_ <=> cobalt2_c_	cobalt transport in via permease (no H+)	False
COLIPAabcpp	atp_c_ + colipa_c_ + h2o_c_ <=> adp_c_ + colipa_p_ + h_c_ + pi_c_	core oligosaccharide lipid A transport via ABC system (periplasm)	False
CPPPGO	cpppg3_c_ + 2 h_c_ + o2_c_ <=> 2 co2_c_ + 2 h2o_c_ + pppg9_c_	coproporphyrinogen oxidase (O2 required)	False
CPPPGO2	2 amet_c_ + cpppg3_c_ <=> 2 co2_c_ + 2 dad_5_c_ + 2 met_L_c_ + pppg9_c_	Oxygen Independent coproporphyrinogen-III oxidase	False
CRNabcpp	atp_c_ + crn_p_ + h2o_c_ <=> adp_c_ + crn_c_ + h_c_ + pi_c_	L-carnitine transport via ABC system (periplasm)	False
CRNt2rpp	crn_p_ + h_p_ <=> crn_c_ + h_c_	L-carnitine outward transport (H+ antiport)	True
CS	accoa_c_ + h2o_c_ + oaa_c_ <=> cit_c_ + coa_c_ + h_c_	citrate synthase	False
CSND	csn_c_ + h2o_c_ + h_c_ <=> nh4_c_ + ura_c_	Cytosine deaminase	False
CTPS2	atp_c_ + gln_L_c_ + h2o_c_ + utp_c_ <=> adp_c_ + ctp_c_ + glu_L_c_ + 2 h_c_ + pi_c_	CTP synthase (glutamine)	False
CU2tex	cu2_e_ <=> cu2_p_	copper (Cu+2) transport via diffusion (extracellular to periplasm)	True
CU2tpp	cu2_p_ <=> cu2_c_	copper transport in via permease (no H+)	False
CYSS	acser_c_ + h2s_c_ <=> ac_c_ + cys_L_c_ + h_c_	cysteine synthase	False
CYSTL	cyst_L_c_ + h2o_c_ <=> hcys_L_c_ + nh4_c_ + pyr_c_	cystathionine b-lyase	False
CYTBDpp	2 h_c_ + 0.50 o2_c_ + q8h2_c_ <=> h2o_c_ + 2 h_p_ + q8_c_	cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	False
CYTDK2	cytd_c_ + gtp_c_ <=> cmp_c_ + gdp_c_ + h_c_	cytidine kinase (GTP)	False
CYTK1	atp_c_ + cmp_c_ <=> adp_c_ + cdp_c_	cytidylate kinase (CMP)	True
CYTK2	atp_c_ + dcmp_c_ <=> adp_c_ + dcdp_c_	cytidylate kinase (dCMP)	True
DALAt2pp	ala_D_p_ + h_p_ <=> ala_D_c_ + h_c_	D-alanine transport in via proton symport (periplasm)	False
DAPDC	_26dap_M_c_ + h_c_ <=> co2_c_ + lys_L_c_	diaminopimelate decarboxylase	False
DAPE	_26dap_LL_c_ <=> _26dap_M_c_	diaminopimelate epimerase	True
DASYN160	ctp_c_ + h_c_ + pa160_c_ <=> cdpdhdecg_c_ + ppi_c_	CDP-diacylglycerol synthetase (n-C16:0)	False
DASYN161	ctp_c_ + h_c_ + pa161_c_ <=> cdpdhdec9eg_c_ + ppi_c_	CDP-diacylglycerol synthetase (n-C16:1)	False
DB4PS	ru5p_D_c_ <=> db4p_c_ + for_c_ + h_c_	 3,4-Dihydroxy-2-butanone-4-phosphate synthase	False
DDPA	e4p_c_ + h2o_c_ + pep_c_ <=> _2dda7p_c_ + pi_c_	 3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	False
DGK1	atp_c_ + dgmp_c_ <=> adp_c_ + dgdp_c_	deoxyguanylate kinase (dGMP:ATP)	True
DHAD1	_23dhmb_c_ <=> _3mob_c_ + h2o_c_	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	False
DHAD2	_23dhmp_c_ <=> _3mop_c_ + h2o_c_	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	False
DHBD	_23ddhb_c_ + nad_c_ <=> _23dhb_c_ + h_c_ + nadh_c_	 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	True
DHBS	_23dhb_c_ + atp_c_ + h_c_ <=> _23dhba_c_ + ppi_c_	 2,3-dihydroxybenzoate adenylate synthase	False
DHDPRy	_23dhdp_c_ + h_c_ + nadph_c_ <=> nadp_c_ + thdp_c_	dihydrodipicolinate reductase (NADPH)	False
DHDPS	aspsa_c_ + pyr_c_ <=> _23dhdp_c_ + 2 h2o_c_ + h_c_	dihydrodipicolinate synthase	False
DHFR	dhf_c_ + h_c_ + nadph_c_ <=> nadp_c_ + thf_c_	dihydrofolate reductase	True
DHFS	atp_c_ + dhpt_c_ + glu_L_c_ <=> adp_c_ + dhf_c_ + h_c_ + pi_c_	dihydrofolate synthase	False
DHNPA2	dhnpt_c_ <=> _6hmhpt_c_ + gcald_c_	dihydroneopterin aldolase	False
DHORD5	dhor_S_c_ + mqn8_c_ <=> mql8_c_ + orot_c_	dihydroorotic acid (menaquinone-8)	False
DHORTS	dhor_S_c_ + h2o_c_ <=> cbasp_c_ + h_c_	dihydroorotase	True
DHPPDA2	_25drapp_c_ + h2o_c_ + h_c_ <=> _5apru_c_ + nh4_c_	diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	False
DHPS2	_4abz_c_ + _6hmhptpp_c_ <=> dhpt_c_ + ppi_c_	dihydropteroate synthase	False
DHPTDCs	dhptd_c_ <=> h2o_c_ + hmfurn_c_	 4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	False
DHQS	_2dda7p_c_ <=> _3dhq_c_ + pi_c_	 3-dehydroquinate synthase	False
DHQTi	_3dhq_c_ <=> _3dhsk_c_ + h2o_c_	 3-dehydroquinate dehydratase, irreversible	False
DMATT	dmpp_c_ + ipdp_c_ <=> grdp_c_ + ppi_c_	dimethylallyltranstransferase	False
DMPPS	h2mb4p_c_ + h_c_ + nadh_c_ <=> dmpp_c_ + h2o_c_ + nad_c_	 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	False
DM_4HBA	_4hba_c_ <=> 	Sink needed to allow 4-hydroxy-benzoate to leave system	False
DM_5DRIB	_5drib_c_ <=> 	Sink needed to allow 5'-deoxyribose to leave system	False
DM_HMFURN	hmfurn_c_ <=> 	Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system	False
DNMPPA	dhpmp_c_ + h2o_c_ <=> dhnpt_c_ + pi_c_	Dihydroneopterin monophosphate dephosphorylase	False
DNTPPA	ahdt_c_ + h2o_c_ <=> dhpmp_c_ + h_c_ + ppi_c_	Dihydroneopterin triphosphate pyrophosphatase	False
DPCOAK	atp_c_ + dpcoa_c_ <=> adp_c_ + coa_c_ + h_c_	dephospho-CoA kinase	False
DPR	_2dhp_c_ + h_c_ + nadph_c_ <=> nadp_c_ + pant_R_c_	 2-dehydropantoate 2-reductase	False
DTMPK	atp_c_ + dtmp_c_ <=> adp_c_ + dtdp_c_	dTMP kinase	True
DURIK1	atp_c_ + duri_c_ <=> adp_c_ + dump_c_ + h_c_	deoxyuridine kinase (ATP:Deoxyuridine)	False
DURIPP	duri_c_ + pi_c_ <=> _2dr1p_c_ + ura_c_	deoxyuridine phosphorylase	True
DXPRIi	dxyl5p_c_ + h_c_ + nadph_c_ <=> _2me4p_c_ + nadp_c_	 1-deoxy-D-xylulose reductoisomerase	False
DXPS	g3p_c_ + h_c_ + pyr_c_ <=> co2_c_ + dxyl5p_c_	 1-deoxy-D-xylulose 5-phosphate synthase	False
E4PD	e4p_c_ + h2o_c_ + nad_c_ <=> _4per_c_ + 2 h_c_ + nadh_c_	Erythrose 4-phosphate dehydrogenase	True
EAR100x	h_c_ + nadh_c_ + tdec2eACP_c_ <=> dcaACP_c_ + nad_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	False
EAR120x	h_c_ + nadh_c_ + tddec2eACP_c_ <=> ddcaACP_c_ + nad_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)	False
EAR121x	h_c_ + nadh_c_ + t3c5ddeceACP_c_ <=> cddec5eACP_c_ + nad_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	False
EAR140x	h_c_ + nadh_c_ + tmrs2eACP_c_ <=> myrsACP_c_ + nad_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)	False
EAR141x	h_c_ + nadh_c_ + t3c7mrseACP_c_ <=> nad_c_ + tdeACP_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	False
EAR160x	h_c_ + nadh_c_ + tpalm2eACP_c_ <=> nad_c_ + palmACP_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	False
EAR161x	h_c_ + nadh_c_ + t3c9palmeACP_c_ <=> hdeACP_c_ + nad_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	False
EAR40x	but2eACP_c_ + h_c_ + nadh_c_ <=> butACP_c_ + nad_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)	False
EAR60x	h_c_ + nadh_c_ + thex2eACP_c_ <=> hexACP_c_ + nad_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	False
EAR80x	h_c_ + nadh_c_ + toct2eACP_c_ <=> nad_c_ + ocACP_c_	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	False
ECOAH1	_3hbcoa_c_ <=> b2coa_c_ + h2o_c_	 3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	True
ECOAH2	_3hhcoa_c_ <=> h2o_c_ + hx2coa_c_	 3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	True
ECOAH3	_3hocoa_c_ <=> h2o_c_ + oc2coa_c_	 3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	True
ECOAH4	_3hdcoa_c_ <=> dc2coa_c_ + h2o_c_	 3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	True
ECOAH5	_3hddcoa_c_ <=> dd2coa_c_ + h2o_c_	 3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	True
EDTXS1	ddcaACP_c_ + kdo2lipid4_c_ <=> ACP_c_ + kdo2lipid4L_c_	Endotoxin Synthesis (lauroyl transferase)	False
EDTXS2	kdo2lipid4L_c_ + myrsACP_c_ <=> ACP_c_ + lipa_c_	Endotoxin Synthesis (myristoyl transferase)	False
ENO	_2pg_c_ <=> h2o_c_ + pep_c_	enolase	True
