!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
Michaelis constant	PDH_R00209	NADplus	0.04101	mM	R00209	C00003
Michaelis constant	ICD_R00709	NADplus	0.07985	mM	R00709	C00003
Michaelis constant	KGD_R08549	NADplus	0.003647	mM	R08549	C00003
Michaelis constant	MDH_R00342	NADplus	0.3993	mM	R00342	C00003
Michaelis constant	PFK_R04779	ATP	0.1197	mM	R04779	C00002
Michaelis constant	PGK_R01512	ATP	0.7611	mM	R01512	C00002
Michaelis constant	PYK_R00200	ATP	0.4477	mM	R00200	C00002
Michaelis constant	SCS_R00405	ATP	0.05543	mM	R00405	C00002
Michaelis constant	ICD_R00709	_2_Oxoglutarate	1.752	mM	R00709	C00026
Michaelis constant	KGD_R08549	_2_Oxoglutarate	3.981	mM	R08549	C00026
Michaelis constant	CSN_R00351	Oxaloacetate	0.009071	mM	R00351	C00036
Michaelis constant	MDH_R00342	Oxaloacetate	0.01107	mM	R00342	C00036
Michaelis constant	PPC_R00345	Oxaloacetate	197.7	mM	R00345	C00036
Michaelis constant	OxAConsumption	Oxaloacetate	0.09929	mM	OxAConsumption	C00036
Michaelis constant	SDH_R02164	Ubiquinone	0.03691	mM	R02164	C00399
Michaelis constant	TAL_R08575	D_Erythrose_4_phosphate	0.0323	mM	R08575	C00279
Michaelis constant	TXT_R01067	D_Erythrose_4_phosphate	0.3596	mM	R01067	C00279
Michaelis constant	SDH_R02164	Ubiquinol	230.5	mM	R02164	C00390
Michaelis constant	PFK_R04779	ADP	0.8289	mM	R04779	C00008
Michaelis constant	PGK_R01512	ADP	0.1259	mM	R01512	C00008
Michaelis constant	PYK_R00200	ADP	0.1394	mM	R00200	C00008
Michaelis constant	SCS_R00405	ADP	0.09977	mM	R00405	C00008
Michaelis constant	ACN_R01900	Isocitrate	0.1658	mM	R01900	C00311
Michaelis constant	ICD_R00709	Isocitrate	2.39	mM	R00709	C00311
Michaelis constant	PGD_R01528	D_Ribulose_5_phosphate	0.1648	mM	R01528	C00199
Michaelis constant	RPI_R01056	D_Ribulose_5_phosphate	2.709	mM	R01056	C00199
Michaelis constant	RPE_R01529	D_Ribulose_5_phosphate	0.8674	mM	R01529	C00199
Michaelis constant	RPE_R01529	D_Xylulose_5_phosphate	0.4755	mM	R01529	C00231
Michaelis constant	TXT_R01641	D_Xylulose_5_phosphate	0.4907	mM	R01641	C00231
Michaelis constant	TXT_R01067	D_Xylulose_5_phosphate	0.4893	mM	R01067	C00231
Michaelis constant	PTS_RPTSsy	D_Glucose_6_phosphate	13.74	mM	RPTSsy	C00092
Michaelis constant	PGI_R02740	D_Glucose_6_phosphate	0.1223	mM	R02740	C00092
Michaelis constant	ZWF_R00835	D_Glucose_6_phosphate	0.1019	mM	R00835	C00092
Michaelis constant	GAP_R01061	_3_Phospho_D_glyceroyl_phosphate	0.02484	mM	R01061	C00236
Michaelis constant	PGK_R01512	_3_Phospho_D_glyceroyl_phosphate	0.001137	mM	R01512	C00236
Michaelis constant	PDH_R00209	CoA	0.003469	mM	R00209	C00010
Michaelis constant	CSN_R00351	CoA	9999	mM	R00351	C00010
Michaelis constant	KGD_R08549	CoA	0.003647	mM	R08549	C00010
Michaelis constant	SCS_R00405	CoA	0.05345	mM	R00405	C00010
Michaelis constant	Overflow	CoA	0.1239	mM	Overflow	C00010
Michaelis constant	PDH_R00209	CO2	0.4544	mM	R00209	C00011
Michaelis constant	PGD_R01528	CO2	47.85	mM	R01528	C00011
Michaelis constant	ICD_R00709	CO2	1.752	mM	R00709	C00011
Michaelis constant	KGD_R08549	CO2	2.742	mM	R08549	C00011
Michaelis constant	PPC_R00345	CO2	0.1889	mM	R00345	C00011
Michaelis constant	RPI_R01056	D_Ribose_5_phosphate	2.544	mM	R01056	C00117
Michaelis constant	TXT_R01641	D_Ribose_5_phosphate	0.5308	mM	R01641	C00117
Michaelis constant	ALD_R01070	Glycerone_phosphate	0.1612	mM	R01070	C00111
Michaelis constant	TIM_R01015	Glycerone_phosphate	2.779	mM	R01015	C00111
Michaelis constant	PTS_RPTSsy	D_Glucose	0.0007281	mM	RPTSsy	C00031
Michaelis constant	PFK_R04779	D_Fructose_1_6_bisphosphate	2.667	mM	R04779	C00354
Michaelis constant	ALD_R01070	D_Fructose_1_6_bisphosphate	0.1069	mM	R01070	C00354
Michaelis constant	ALD_R01070	D_Glyceraldehyde_3_phosphate	0.1307	mM	R01070	C00118
Michaelis constant	TIM_R01015	D_Glyceraldehyde_3_phosphate	0.3587	mM	R01015	C00118
Michaelis constant	GAP_R01061	D_Glyceraldehyde_3_phosphate	0.4226	mM	R01061	C00118
Michaelis constant	TXT_R01641	D_Glyceraldehyde_3_phosphate	4.874	mM	R01641	C00118
Michaelis constant	TAL_R08575	D_Glyceraldehyde_3_phosphate	0.08337	mM	R08575	C00118
Michaelis constant	TXT_R01067	D_Glyceraldehyde_3_phosphate	4.888	mM	R01067	C00118
Michaelis constant	PTS_RPTSsy	Phosphoenolpyruvate	0.0007281	mM	RPTSsy	C00074
Michaelis constant	PGH_R00658	Phosphoenolpyruvate	0.3011	mM	R00658	C00074
Michaelis constant	PYK_R00200	Phosphoenolpyruvate	0.1729	mM	R00200	C00074
Michaelis constant	PPC_R00345	Phosphoenolpyruvate	0.3819	mM	R00345	C00074
Michaelis constant	CSN_R00351	Citrate	0.003754	mM	R00351	C00158
Michaelis constant	ACN_R01325	Citrate	0.6159	mM	R01325	C00158
Michaelis constant	KGD_R08549	Succinyl_CoA	0.07765	mM	R08549	C00091
Michaelis constant	SCS_R00405	Succinyl_CoA	0.04541	mM	R00405	C00091
Michaelis constant	PGK_R01512	_3_Phospho_D_glycerate	1.094	mM	R01512	C00197
Michaelis constant	PGM_R01518	_3_Phospho_D_glycerate	0.9518	mM	R01518	C00197
Michaelis constant	ZWF_R00835	D_Glucono_1_5_lactone_6_phosphate	0.297	mM	R00835	C01236
Michaelis constant	GLH_R02035	D_Glucono_1_5_lactone_6_phosphate	0.01381	mM	R02035	C01236
Michaelis constant	PGI_R02740	D_Fructose_6_phosphate	0.08174	mM	R02740	C00085
Michaelis constant	PFK_R04779	D_Fructose_6_phosphate	0.00375	mM	R04779	C00085
Michaelis constant	TAL_R08575	D_Fructose_6_phosphate	0.5014	mM	R08575	C00085
Michaelis constant	TXT_R01067	D_Fructose_6_phosphate	6.981	mM	R01067	C00085
Michaelis constant	PGM_R01518	_2_Phospho_D_glycerate	0.02798	mM	R01518	C00631
Michaelis constant	PGH_R00658	_2_Phospho_D_glycerate	0.2984	mM	R00658	C00631
Michaelis constant	SCS_R00405	Succinate	1.41	mM	R00405	C00042
Michaelis constant	SDH_R02164	Succinate	0.1183	mM	R02164	C00042
Michaelis constant	TXT_R01641	Sedoheptulose_7_phosphate	3.979	mM	R01641	C05382
Michaelis constant	TAL_R08575	Sedoheptulose_7_phosphate	0.283	mM	R08575	C05382
Michaelis constant	Overflow	Ext1	0.1239	mM	Overflow	
Michaelis constant	OxAConsumption	Ext2	0.1007	mM	OxAConsumption	
activation constant	PFK_R04779	ADP	0.1	mM	R04779	C00008
activation constant	PYK_R00200	D_Fructose_1_6_bisphosphate	0.1	mM	R00200	C00354
inhibitory constant	CSN_R00351	NADH	0.1	mM	R00351	C00004
inhibitory constant	CSN_R00351	_2_Oxoglutarate	0.1	mM	R00351	C00026
inhibitory constant	PFK_R04779	Phosphoenolpyruvate	0.1	mM	R04779	C00074
substrate catalytic rate constant	PTS_RPTSsy		15.16	1/s	RPTSsy	
substrate catalytic rate constant	PGI_R02740		125.8	1/s	R02740	
substrate catalytic rate constant	PFK_R04779		42.04	1/s	R04779	
substrate catalytic rate constant	ALD_R01070		195.8	1/s	R01070	
substrate catalytic rate constant	TIM_R01015		1605	1/s	R01015	
substrate catalytic rate constant	GAP_R01061		66.68	1/s	R01061	
substrate catalytic rate constant	PGK_R01512		106.8	1/s	R01512	
substrate catalytic rate constant	PGM_R01518		361.1	1/s	R01518	
substrate catalytic rate constant	PGH_R00658		198.9	1/s	R00658	
substrate catalytic rate constant	PYK_R00200		120.8	1/s	R00200	
substrate catalytic rate constant	PDH_R00209		38.27	1/s	R00209	
substrate catalytic rate constant	ZWF_R00835		296.8	1/s	R00835	
substrate catalytic rate constant	GLH_R02035		679.4	1/s	R02035	
substrate catalytic rate constant	PGD_R01528		32.18	1/s	R01528	
substrate catalytic rate constant	RPI_R01056		1619	1/s	R01056	
substrate catalytic rate constant	RPE_R01529		1295	1/s	R01529	
substrate catalytic rate constant	TXT_R01641		45.03	1/s	R01641	
substrate catalytic rate constant	TAL_R08575		6.599	1/s	R08575	
substrate catalytic rate constant	TXT_R01067		69.21	1/s	R01067	
substrate catalytic rate constant	CSN_R00351		152	1/s	R00351	
substrate catalytic rate constant	ACN_R01325		23.4	1/s	R01325	
substrate catalytic rate constant	ACN_R01900		59.82	1/s	R01900	
substrate catalytic rate constant	ICD_R00709		106.8	1/s	R00709	
substrate catalytic rate constant	KGD_R08549		578.5	1/s	R08549	
substrate catalytic rate constant	SCS_R00405		123.8	1/s	R00405	
substrate catalytic rate constant	SDH_R02164		86.28	1/s	R02164	
substrate catalytic rate constant	FUM_R01082		324.9	1/s	R01082	
substrate catalytic rate constant	MDH_R00342		331.1	1/s	R00342	
substrate catalytic rate constant	PPC_R00345		268.1	1/s	R00345	
substrate catalytic rate constant	Overflow		214.2	1/s	Overflow	
substrate catalytic rate constant	OxAConsumption		200.5	1/s	OxAConsumption	
product catalytic rate constant	PTS_RPTSsy		94.74	1/s	RPTSsy	
product catalytic rate constant	PGI_R02740		231.1	1/s	R02740	
product catalytic rate constant	PFK_R04779		117.7	1/s	R04779	
product catalytic rate constant	ALD_R01070		204.3	1/s	R01070	
product catalytic rate constant	TIM_R01015		693.2	1/s	R01015	
product catalytic rate constant	GAP_R01061		444.5	1/s	R01061	
product catalytic rate constant	PGK_R01512		523.4	1/s	R01512	
product catalytic rate constant	PGM_R01518		38.47	1/s	R01518	
product catalytic rate constant	PGH_R00658		38.76	1/s	R00658	
product catalytic rate constant	PYK_R00200		0.1	1/s	R00200	
product catalytic rate constant	PDH_R00209		0.1021	1/s	R00209	
product catalytic rate constant	ZWF_R00835		333.7	1/s	R00835	
product catalytic rate constant	GLH_R02035		0.1	1/s	R02035	
product catalytic rate constant	PGD_R01528		84.36	1/s	R01528	
product catalytic rate constant	RPI_R01056		778.1	1/s	R01056	
product catalytic rate constant	RPE_R01529		182.1	1/s	R01529	
product catalytic rate constant	TXT_R01641		706.9	1/s	R01641	
product catalytic rate constant	TAL_R08575		3.478	1/s	R08575	
product catalytic rate constant	TXT_R01067		225.3	1/s	R01067	
product catalytic rate constant	CSN_R00351		32.02	1/s	R00351	
product catalytic rate constant	ACN_R01325		25.55	1/s	R01325	
product catalytic rate constant	ACN_R01900		318.2	1/s	R01900	
product catalytic rate constant	ICD_R00709		30.1	1/s	R00709	
product catalytic rate constant	KGD_R08549		69.15	1/s	R08549	
product catalytic rate constant	SCS_R00405		73.95	1/s	R00405	
product catalytic rate constant	SDH_R02164		79.36	1/s	R02164	
product catalytic rate constant	FUM_R01082		145.2	1/s	R01082	
product catalytic rate constant	MDH_R00342		708.3	1/s	R00342	
product catalytic rate constant	PPC_R00345		1322	1/s	R00345	
product catalytic rate constant	Overflow		186.7	1/s	Overflow	
product catalytic rate constant	OxAConsumption		199.5	1/s	OxAConsumption	
standard chemical potential		_S__Malate	-43.42	kJ/mol		C00149
standard chemical potential		Acetyl_CoA	-2.035	kJ/mol		C00024
standard chemical potential		Fumarate	-39.4	kJ/mol		C00122
standard chemical potential		cis_Aconitate	-9.074	kJ/mol		C00417
standard chemical potential		_6_Phospho_D_gluconate	-2.205	kJ/mol		C00345
standard chemical potential		Orthophosphate	-26.59	kJ/mol		C00009
standard chemical potential		Pyruvate	7.488	kJ/mol		C00022
standard chemical potential		NADPplus	13.8	kJ/mol		C00006
standard chemical potential		NADPH	-13.8	kJ/mol		C00005
standard chemical potential		NADH	-19.96	kJ/mol		C00004
standard chemical potential		NADplus	19.96	kJ/mol		C00003
standard chemical potential		ATP	-7.658	kJ/mol		C00002
standard chemical potential		H2O	0	kJ/mol		C00001
standard chemical potential		_2_Oxoglutarate	3.192	kJ/mol		C00026
standard chemical potential		Oxaloacetate	20.57	kJ/mol		C00036
standard chemical potential		Ubiquinone	-3.176	kJ/mol		C00399
standard chemical potential		D_Erythrose_4_phosphate	-2.127	kJ/mol		C00279
standard chemical potential		Ubiquinol	3.176	kJ/mol		C00390
standard chemical potential		ADP	7.658	kJ/mol		C00008
standard chemical potential		Isocitrate	-10.19	kJ/mol		C00311
standard chemical potential		D_Ribulose_5_phosphate	4.429	kJ/mol		C00199
standard chemical potential		D_Xylulose_5_phosphate	1.056	kJ/mol		C00231
standard chemical potential		D_Glucose_6_phosphate	-1.071	kJ/mol		C00092
standard chemical potential		_3_Phospho_D_glyceroyl_phosphate	18.66	kJ/mol		C00236
standard chemical potential		CoA	1.192	kJ/mol		C00010
standard chemical potential		CO2	15.12	kJ/mol		C00011
standard chemical potential		D_Ribose_5_phosphate	2.768	kJ/mol		C00117
standard chemical potential		Glycerone_phosphate	-15.63	kJ/mol		C00111
standard chemical potential		D_Glucose	35.14	kJ/mol		C00031
standard chemical potential		D_Fructose_1_6_bisphosphate	-32.4	kJ/mol		C00354
standard chemical potential		D_Glyceraldehyde_3_phosphate	-12.64	kJ/mol		C00118
standard chemical potential		Phosphoenolpyruvate	15.55	kJ/mol		C00074
standard chemical potential		Citrate	-17.82	kJ/mol		C00158
standard chemical potential		Succinyl_CoA	0.8433	kJ/mol		C00091
standard chemical potential		_3_Phospho_D_glycerate	16.43	kJ/mol		C00197
standard chemical potential		D_Glucono_1_5_lactone_6_phosphate	21.51	kJ/mol		C01236
standard chemical potential		D_Fructose_6_phosphate	1.437	kJ/mol		C00085
standard chemical potential		_2_Phospho_D_glycerate	19.62	kJ/mol		C00631
standard chemical potential		Succinate	-11.49	kJ/mol		C00042
standard chemical potential		Sedoheptulose_7_phosphate	12.61	kJ/mol		C05382
standard chemical potential		Ext1	0.5469	kJ/mol		
standard chemical potential		Ext2	20.52	kJ/mol		
concentration		_S__Malate	0.3	mM		C00149
concentration		Acetyl_CoA	0.3	mM		C00024
concentration		Fumarate	0.3	mM		C00122
concentration		cis_Aconitate	0.3	mM		C00417
concentration		_6_Phospho_D_gluconate	0.3	mM		C00345
concentration		Orthophosphate	0.3	mM		C00009
concentration		Pyruvate	0.3	mM		C00022
concentration		NADPplus	0.3	mM		C00006
concentration		NADPH	0.3	mM		C00005
concentration		NADH	0.3	mM		C00004
concentration		NADplus	0.3	mM		C00003
concentration		ATP	0.3	mM		C00002
concentration		H2O	0.3	mM		C00001
concentration		_2_Oxoglutarate	0.3	mM		C00026
concentration		Oxaloacetate	0.3	mM		C00036
concentration		Ubiquinone	0.3	mM		C00399
concentration		D_Erythrose_4_phosphate	0.3	mM		C00279
concentration		Ubiquinol	0.3	mM		C00390
concentration		ADP	0.3	mM		C00008
concentration		Isocitrate	0.3	mM		C00311
concentration		D_Ribulose_5_phosphate	0.3	mM		C00199
concentration		D_Xylulose_5_phosphate	0.3	mM		C00231
concentration		D_Glucose_6_phosphate	0.3	mM		C00092
concentration		_3_Phospho_D_glyceroyl_phosphate	0.3	mM		C00236
concentration		CoA	0.3	mM		C00010
concentration		CO2	0.3	mM		C00011
concentration		D_Ribose_5_phosphate	0.3	mM		C00117
concentration		Glycerone_phosphate	0.3	mM		C00111
concentration		D_Glucose	0.3	mM		C00031
concentration		D_Fructose_1_6_bisphosphate	0.3	mM		C00354
concentration		D_Glyceraldehyde_3_phosphate	0.3	mM		C00118
concentration		Phosphoenolpyruvate	0.3	mM		C00074
concentration		Citrate	0.3	mM		C00158
concentration		Succinyl_CoA	0.3	mM		C00091
concentration		_3_Phospho_D_glycerate	0.3	mM		C00197
concentration		D_Glucono_1_5_lactone_6_phosphate	0.3	mM		C01236
concentration		D_Fructose_6_phosphate	0.3	mM		C00085
concentration		_2_Phospho_D_glycerate	0.3	mM		C00631
concentration		Succinate	0.3	mM		C00042
concentration		Sedoheptulose_7_phosphate	0.3	mM		C05382
concentration		Ext1	0.3	mM		
concentration		Ext2	0.3	mM		
